weeknd,blindinglights," Yeah  I've been tryna call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby  I look around and Sin City's cold and empty (Oh) No one's around to judge me (Oh) I can't see clearly when you're gone  I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust Hey, hey, hey  I'm running out of time 'Cause I can see the sun light up the sky So I hit the road in overdrive, baby, oh  The city's cold and empty (Oh) No one's around to judge me (Oh) I can't see clearly when you're gone  I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust  I'm just walking by to let you know (By to let you know) I can never say it on the phone (Say it on the phone) Will never let you go this time (Ooh)  I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch Hey, hey, hey Hey, hey, hey  I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch"
drake,toosieslide," Black leather glove, no sequins Buckles on the jacket, it's Alyx shit Nike crossbody, got a piece in it Got a dance, but it's really on some street shit I'ma show you how to get it  It go right foot up, left foot, slide Left foot up, right foot, slide Basically, I'm sayin' either way, we 'bout to slide, ayy Can't let this one slide, ayy  Don't you wanna dance with me? No? I could dance like Michael Jackson I could give you thug passion It's a Thriller in the trap where we from Baby, don't you wanna dance with me? No? I could dance like Michael Jackson I could give you satisfaction And you know we out here every day with it I'ma show you how to get it  It go right foot up, left foot, slide Left foot up, right foot, slide Basically, I'm sayin', either way, we 'bout to slide, ayy Can't let this one slide, ayy (Who's bad?)  Two thousand shorties wanna tie the knot, ayy, yeah Two hundred shooters on my brother's block, woah, yeah Petal off a rose like I love her not, maybe not I don't know what's wrong with me, I can't stop, woah, yeah Won't stop, woah, yeah, never stop Got so many opps, I be mistakin' opps for other opps Got so many people that I love out of troubled spots Other than the family I got, it's either you or me That's just how I think, it's either you or me This life got too deep for you, baby Two or three of us about to creep where they stayin'  Black leather glove, no sequins Buckles on the jacket, it's Alyx shit Nike crossbody, got a piece in it Got a dance, but it's really on some street shit I'ma show you how to get it  It go right foot up, left foot, slide Left foot up, right foot, slide Basically, I'm sayin' either way, we 'bout to slide, ayy Can't let this one slide, ayy (Who's bad?)  Toosie slide, then I hit it double-time Then I hit a spin 'cause we spun their block a couple times If it's not the right time, there'll always be another time I'm not even trippin', we'll just see 'em in the summertime, woah, yeah Can't describe the pressure I be puttin' on myself, yeah Really, I just can't afford to lose nobody else, yeah If they movin' shaky, we'll just do this shit ourselves, woah If I'm movin' shaky, Chubbs'll do this shit himself, yeah Solo niggas, only YOLO, for real Heard a lot about you but we don't know for real Next time, guarantee the truth'll get revealed  Black leather gloves, no sequins, yeah Buckles on the jacket, it's Alyx shit Nike crossbody, got a piece in it Got a dance, but it's really on some street shit I'ma show you how  It go right foot up, left foot, slide Left foot up, right foot, slide Basically, I'm sayin' either way we 'bout to slide, ayy Can't let this one slide, ayy  Don't you wanna dance with me? No? I could dance like Michael Jackson (Jackson) I could give you thug passion (Passion) It's a Thriller in the trap where we from (Where we from) Baby, don't you wanna dance with me? No? I could dance like Michael Jackson (Jackson) I could give you satisfaction ('Faction) And you know we out here every day with it I'ma show you how to get it  It go right foot up, left foot, slide Left foot up, right foot, slide Basically, I'm sayin' either way we 'bout to slide (Who's bad?)"
roddyricch,thebox," Pullin' out the coupe at the lot Told 'em fuck 12, fuck SWAT Bustin' all the bales out the box I just hit a lick with the box Had to put the stick in a box, mmh Pour up the whole damn seal, I'ma get lazy I got the mojo deals, we been trappin' like the '80s She sucked a nigga soul, got the Cash App Told 'em wipe a nigga nose, say slatt, slatt I won't never sell my soul, and I can back that And I really wanna know where you at, at  I was out back where the stash at Cruise the city in a bulletproof Cadillac (Skrrt) 'Cause I know these niggas after where the bag at (Yeah) Gotta move smarter, gotta move harder Nigga try to get me for my water I'll lay his ass down, on my son, on my daughter I had the Draco with me, Dwayne Carter Lotta niggas out here playin' ain't ballin' I done put my whole arm in the rim, Vince Carter (Yeah) And I know probably get a key for the quarter Shawty barely seen in double C's, I bought 'em Got a bitch that's looking like Aaliyah, she a model I got the pink slip, all my whips is key-less Compton, I'm about to get the key to the city Patek like the sea, forget it  Pullin' out the coupe at the lot Told 'em fuck 12, fuck SWAT Bustin' all the bales out the box I just hit a lick with the box Had to put the stick in a box, mmh Pour up the whole damn seal, I'ma get lazy I got the mojo deals, we been trappin' like the '80s She sucked a nigga soul, got the Cash App Told 'em wipe a nigga nose, say slatt, slatt I won't never sell my soul, and I can back that And I really wanna know where you at, at, hah  Hahaha, I been movin' 'em out If Steelo with me, then he got the blues in the pouch (Yeah) Took her to the forest, put the wood in her mouth Bitch don't wear no shoes in my house The private I'm flyin' in, I never wan' fly again I'll take my chances in traffic (Yeah) She suckin' on dick, no hands with it I just made the Rollie plain like a landing strip I'm a 2020 president candidate I done put a hundred bands on Zimmerman, shit I been movin' real gangster, so that's why she picked a Crip Shawty call me Crisco 'cause I pop my shit Got it out the mud, there's nothin' you can tell me, yeah When I had the drugs, I was street wealthy, yeah  Pullin' out the coupe at the lot Told 'em fuck 12, fuck SWAT Bustin' all the bales out the box I just hit a lick with the box Had to put the stick in a box, mmh Pour up the whole damn seal, I'ma get lazy I got the mojo deals, we been trappin' like the '80s She sucked a nigga soul, got the Cash App Told 'em wipe a nigga nose, say slatt, slatt I won't never sell my soul, and I can back that And I really wanna know where you at, at"
dojacat,sayso," Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused. You want it? Say so Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused. You want it? Say so  It's been a long time since you fell in love You ain't coming out your shell, you ain't really been yourself Tell me, what must I do? Do tell my love 'Cause luckily I'm good at reading I wouldn't bug him, but he won't stop cheesin' And we can dance all day around it If you front, then I'll be bouncing If you want it, scream it, shout it, babe Before I leave you dry  Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused. You want it? Say so Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused. You want it? Say so (Yeah)  Let me check my chest, my breath right quick (Ha) He ain't never seen it in a dress like this (Ah) He ain't never even been impressed like this Prolly why I got him quiet on the set like zip Like it, love it, need it, bad Take it, own it, steal it, fast Boy, stop playing, grab my ass Why you actin' like you shy? Shut it, save it, keep it, push Why you beating 'round the bush? Knowing you want all this woman Never knock it 'til you try (Yah, yah) All of them bitches hating I have you with me All of my niggas saying you mad committed Realer than anybody you had, and pretty All of that body-ody the ass and titties  Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused. You want it? Say so Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused. You want it? Say so"
dualipa,dontstartnow," If you don't wanna see me  Did a full one eighty Crazy, thinking 'bout the way I was Did the heartbreak change me? Maybe, but look at where I ended up  I'm all good already So moved on it's scary I'm not where you left me at all So if you don't wanna see me dancing with somebody If you wanna believe that anything could stop me  Don't show up Don't come out Don't start caring about me now Walk away You know how Don't start caring about me now  Aren't you the guy who tried to Hurt me with the word goodbye Though it took some time to, survive you I'm better on the other side  I'm all good already So moved on it's scary I'm not where you left me at all So if you don't wanna see me dancing with somebody If you wanna believe that anything could stop me  Don't show up Don't come out Don't start caring about me now Walk away You know how Don't start caring about me now  Don't come out Don't show now Don't start now Don't come out I'm not where you left me at all  So if you don't wanna see me dancing with somebody If you wanna believe that anything could stop me  Don't show up (Don't show up) Don't come out (Don't come out) Don't start caring about me now ('bout me now) Walk away (Walk away) You know how (You know how) Don't start caring about me now  So (Don't come out, out, out) (Don't show now, walk away, walk away) So (Don't come out, out, out) (Don't start now, walk away, walk away)"
postmalone,circles," Oh, oh, oh-oh Oh, oh, oh-oh Oh, oh, oh-oh, oh-oh, oh-oh  We couldn't turn around till we were upside down I'll be the bad guy now, but know I ain't too proud I couldn't be there even when I try You don't believe it, we do this every time  Seasons change and our love went cold Feed the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away, run away  Let go, I got a feeling that it's time to let go I said so, I knew that this was doomed from the get-go You thought that it was special, special But it was just the sex though, the sex though And I still hear the echoes (The echoes) I got a feeling that it's time to let it go, let it go  Seasons change and our love went cold Feed the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away, run away  Maybe you don't understand what I'm going through It's only me, what you got to lose? Make up your mind, tell me, what are you gonna do? It's only me, let it go  Seasons change and our love went cold Feed the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away, run away"
harrystyles,adoreyou," Walk in your rainbow paradise Strawberry lipstick state of mind I get so lost inside your eyes Would you believe it?  You don't have to say you love me You don't have to say nothing You don't have to say you're mine  Honey I'd walk through fire for you Just let me adore you Oh honey I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do Like it's the only thing I'll ever do  You're wonder, under summer skies Brown skin and lemon over ice Would you believe it?  You don't have to say you love me I just wanna tell you something Lately you've been on my mind  Honey I'd walk through fire for you Just let me adore you Oh honey I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do Like it's the only thing I'll ever do  (It's the only thing I'll ever do) (It's the only thing I'll ever do) (It's the only thing I'll ever do) (It's the only thing I'll ever do) (It's the only thing I'll ever do) (It's the only thing I'll ever do) (It's the only thing I'll ever do) (It's the only thing I'll ever do)  I'd walk through fire for you Just let me adore you Oh honey I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do  I'd walk through fire for you Just let me adore you Oh honey Oh honey  I'd walk through fire for you Just let me adore you  Oh honey Just let me adore you Like it's the only thing I'll ever do"
juicewrld,righteous," I will (Will) I will (I will) I will Oh-ooh (Oh-ooh) Uh (Uh)  All white Gucci suit, I'm feeling righteous, yeah I know that the truth is hard to digest, yeah Five or six pills in my right hand, yeah Codeine runneth over on my nightstand Takin' medicine to fix all of the damage My anxiety the size of a planet (Yeah, ooh) Holes in my skull, over time My heart's over ice (Whoa)  Over ice, I'm freezing Beautiful eyes, deceiving We may die this evening Coughing, wheezing, bleeding High, I'm an anxious soul Blood moons are my eyes, stay low Red and black, they glow Under attack, in my soul When it's my time, I'll know Never seen a hell so cold Yeah, we'll make it out, I'll know We'll run right through the flames, let's go (Go)  All white Gucci suit, I'm feeling righteous, yeah I know that the truth is hard to digest, yeah Five or six pills in my right hand, yeah Codeine runneth over on my nightstand Taking medicine to fix all of the damage My anxiety the size of a planet (Yeah, ooh) Holes in my skull, over time My heart's over ice (Whoa, uh)  I'm in too deep Can't swim like me We're drowning, so I will see My demons ten feet, under me Inhale, exhale, but I can't breathe Too busy drinking codeine doin' high speeds Crash, pour a four, sip it slow, make the time pass Take a pill for the thrill, have a relapse Devil in my head tryna run gym laps I ain't tryna race, he don't even know me like that  All white Gucci suit, I'm feeling righteous, yeah I know that the truth is hard to digest, yeah Five or six pills in my right hand, yeah Codeine runneth over on my nightstand Taking medicine to fix all of the damage My anxiety the size of a planet (Yeah, ooh) Holes in my skull, over time My heart's over ice (Whoa)  I will see"
billieeilish,everythingiwanted," 'I had a dream I got everything I wanted Not what you\'d think And if I\'m being honest  It might have been a nightmare To anyone who might care  Thought I could fly So I stepped off the golden Nobody cried Nobody even noticed  I saw them standing right there Kinda thought they might care  I had a dream I got everything I wanted But when I wake up, I see You with me  And you say As long as I\'m here No one can hurt you Don\'t wanna lie here But you can learn to If I could change the way that you see yourself You wouldn\'t wonder why you hear They don\'t deserve you  I tried to scream But my head was under water They called me weak Like I\'m not just somebody\'s daughter  Could\'ve been a nightmare But it felt like they were right there And it feels like yesterday was a year ago But I don\'t wanna let anybody know \'Cause everybody wants something from me now And I don\'t wanna let \'em down  I had a dream I got everything I wanted But when I wake up, I see You with me  And you say As long as I\'m here No one can hurt you Don\'t wanna lie here But you can learn to If I could change the way that you see yourself You wouldn\'t wonder why you hear They don\'t deserve you  If I knew it all then, would I do it again? Would I do it again? If they knew what they said would go straight to my head What would they say instead?  If I knew it all then, would I do it again? Would I do it again? If they knew what they said would go straight to my head What would they say instead?'"
lewiscapaldi,someoneyouloved," I'm going under and this time I fear there's no one to save me This all or nothing really got a way of driving me crazy  I need somebody to heal Somebody to know Somebody to have Somebody to hold It's easy to say But it's never the same I guess I kinda liked the way you numbed all the pain  Now the day bleeds Into nightfall And you're not here To get me through it all I let my guard down And then you pulled the rug I was getting kinda used to being someone you loved  I'm going under and this time I fear there's no one to turn to This all or nothing way of loving got me sleeping without you  Now, I need somebody to know Somebody to heal Somebody to have Just to know how it feels It's easy to say But it's never the same I guess I kinda liked the way you helped me escape  Now the day bleeds Into nightfall And you're not here To get me through it all I let my guard down And then you pulled the rug I was getting kinda used to being someone you loved  And I tend to close my eyes when it hurts sometimes I fall into your arms I'll be safe in your sound til I come back around  For now the day bleeds Into nightfall And you're not here To get me through it all I let my guard down And then you pulled the rug I was getting kinda used to being someone you loved  But now the day bleeds Into nightfall And you're not here To get me through it all I let my guard down And then you pulled the rug I was getting kinda used to being someone you loved  I let my guard down And then you pulled the rug I was getting kinda used to being someone you loved"
gabbybarrett,ihope," I, I hope she makes you smile The way you made me smile On the other end of a phone In the middle of the highway driving alone  Oh, baby, I, I hope you hear a song That makes you sing along And gets you thinking about her Then the last several miles turns into a blur Yeah  I hope you both feel the sparks by the end of the drive I hope you know she's the one by the end of the night I hope you never ever felt more free Tell your friends that you're so happy  I hope she comes along and wrecks every one of your plans I hope you spend your last dime to put a rock on her hand I hope she's wilder than your wildest dreams She's everything you're ever gonna need  And then I hope she cheats Like you did on me And then I hope she cheats Like you did on me  Yeah, babe, I hope she shows up in a 2-AM pic from her friend Hanging on to a guy, and you just ain't him I hope you stay up all night all alone waiting by the phone And then she calls  And, baby, I, I hope you work it out Forgive and just about Forget and take her on a first date again And when you lean in for a kiss  I hope you both feel the sparks by the end of the drive I hope you know she's the one by the end of the night I hope you never ever felt more free Tell your friends that you're so happy  I hope she comes along and wrecks every one of your plans I hope you spend your last dime to put a rock on her hand I hope she's wilder than your wildest dreams She's everything you're ever gonna need  And then I hope she cheats Like you did on me And then I hope she cheats Like you did on me  I hope what goes, comes all the way around I hope she makes you feel the same way about her that I feel about you right now  I hope you both feel the sparks by the end of the drive I hope you know she's the one by the end of the night I hope you never ever felt more free Tell your friends that you're so happy  I hope she comes along and wrecks every one of your plans I hope you spend your last dime to put a rock on her hand I hope she's wilder than your wildest dreams She's everything you're ever gonna need  And then I hope she cheats Like you did on me And then I hope she cheats Like you did on me  Like you did on me"
