,F1_name,F1_value,F2_name,F2_value,F3_name,F3_value,F4_name,F4_value,F5_name,F5_value,label,code,date,title,url
0,"1,600억",9.28632789695242,스타즈,7.624233549334209,케다,7.176025753092938,IR,6.669896782192329,연,6.147669616354102,,068270,2020.06.21,"[스타즈IR]""셀트리온, 다케다제약 인수로 연 매출 1,600억 증가""",https://finance.naver.com/item/news_read.nhn?article_id=0003756493&office_id=011&code=068270&page=1&sm=
0,3948,9.28632789695242,28만,9.28632789695242,22만,8.524827886533611,최근,6.632515907600914,5일,6.080541031258029,,068270,2020.06.19,"셀트리온, 최근 5일 기관 22만 3948주 순매도... 주가 28만 ...",https://finance.naver.com/item/news_read.nhn?article_id=0004702122&office_id=277&code=068270&page=1&sm=
0,트바,9.28632789695242,로티,9.28632789695242,김호중,9.28632789695242,발탁,8.17075054566244,너,7.624233549334209,,068270,2020.06.19,"셀트리온 이너랩, '트바로티' 김호중 모델로 발탁",https://finance.naver.com/item/news_read.nhn?article_id=0004446322&office_id=014&code=068270&page=1&sm=
0,마시스,7.690297531744237,휴,6.746940471130104,협업,6.3316633585516175,주,6.144522450585778,소식,5.645729378771979,,068270,2020.06.19,"[특징주]휴마시스, 셀트리온과 협업 소식에 52주 신고가",https://finance.naver.com/item/news_read.nhn?article_id=0003755910&office_id=011&code=068270&page=1&sm=
0,‘上,9.28632789695242,마시스,7.690297531744237,째,6.821948412221767,휴,6.746940471130104,4일,6.54753445371251,,068270,2020.06.19,"[특징주]휴마시스, 셀트리온 협업 소식에 4일째 ‘上’",https://finance.naver.com/item/news_read.nhn?article_id=0004668109&office_id=018&code=068270&page=1&sm=
0,캐릭터,8.325421869116017,용품,8.17075054566244,이마트,7.3224940555950395,캠핑,7.209844517826036,판매,4.906659156870436,,035720,2020.06.21,이마트 카카오 캐릭터 캠핑용품 판매,https://finance.naver.com/item/news_read.nhn?article_id=0004446896&office_id=014&code=035720&page=1&sm=
0,떠나요,9.28632789695242,캐릭터,8.325421869116017,캠핑,7.209844517826036,랑,6.425616334166412,카카오,3.565325189185372,,035720,2020.06.21,카카오 캐릭터랑 캠핑 떠나요,https://finance.naver.com/item/news_read.nhn?article_id=0004446895&office_id=014&code=035720&page=1&sm=
0,가요,8.524827886533611,캠핑,7.209844517826036,랑,6.425616334166412,카카오,3.565325189185372,,,,035720,2020.06.21,카카오랑 캠핑가요,https://finance.naver.com/item/news_read.nhn?article_id=0004446894&office_id=014&code=035720&page=1&sm=
0,힌트,8.80587488303422,올라탈까,8.80587488303422,알짜,7.937525763511747,리포트,7.364515841279615,보는,7.209844517826036,,035720,2020.06.20,"[다시보는 리포트]""네이버·카카오 올라탈까""…알짜 자회사에 '힌트'",https://finance.naver.com/item/news_read.nhn?article_id=0004668864&office_id=018&code=035720&page=1&sm=
0,컴투스,8.80587488303422,유안,7.40925053524363,타,7.282874862196601,추천,5.878541715899957,주간,5.596698537820178,,035720,2020.06.20,[유안타증권 주간추천주]코로나19에도 실적 개선…카카오·LG화학·컴투스,https://finance.naver.com/item/news_read.nhn?article_id=0004668855&office_id=018&code=035720&page=1&sm=
0,?',8.524827886533611,43%,7.690297531744237,지난달,7.563921858697209,이래,7.40925053524363,오른,6.8024218482784,,035720,2020.06.20,"지난달 43% 오른 진격의 카카오, 이번달은 '왜 이래?'",https://finance.naver.com/item/news_read.nhn?article_id=0004427845&office_id=008&code=035720&page=1&sm=
0,알리페,8.80587488303422,1600억원,8.524827886533611,이,7.3224940555950395,카카오,5.650906727735377,페이,5.47026778146036,,035720,2020.06.19,"카카오·알리페이, 카카오페이에 1600억원 투자",https://finance.naver.com/item/news_read.nhn?article_id=0004702272&office_id=277&code=035720&page=1&sm=
0,?',8.524827886533611,43%,7.690297531744237,지난달,7.563921858697209,이래,7.40925053524363,오른,6.8024218482784,,035720,2020.06.19,"지난달 43% 오른 진격의 카카오, 이번달은 '왜 이래?'",https://finance.naver.com/item/news_read.nhn?article_id=0004427650&office_id=008&code=035720&page=1&sm=
0,7529,9.28632789695242,26만,8.17075054566244,40만,7.690297531744237,최근,6.632515907600914,개인,6.087370122759543,,035720,2020.06.19,"카카오, 최근 5일 개인 40만 7529주 순매도... 주가 26만 3...",https://finance.naver.com/item/news_read.nhn?article_id=0004702030&office_id=277&code=035720&page=1&sm=
0,마이크,8.524827886533611,고수,7.0834688447790075,지금,6.588723630071075,수혜,6.198809627319485,진단,6.060448401802957,,035720,2020.06.19,[주식 초고수는 지금]언택트·코로나19 진단 수혜지속···카카오·마이크...,https://finance.naver.com/item/news_read.nhn?article_id=0003756016&office_id=011&code=035720&page=1&sm=
0,노래방,8.80587488303422,QR,7.690297531744237,출입,7.457072749593546,코드,7.112968921519114,내,6.288287956359876,,035720,2020.06.19,"""노래방 출입 시 카톡 QR코드로""…카카오 이달 내 도입",https://finance.naver.com/item/news_read.nhn?article_id=0001688502&office_id=016&code=035720&page=1&sm=
0,빠른,7.0834688447790075,신,5.450874573900901,성장,5.008185178599291,···,4.837456337803419,목표,4.770072734198606,,035720,2020.06.19,"""카카오, 신사업 빠른 성장···목표가↑""",https://finance.naver.com/item/news_read.nhn?article_id=0003755875&office_id=011&code=035720&page=2&sm=
0,자라는,9.28632789695242,17%,8.04437487261541,쑥쑥,7.937525763511747,베스트,6.884062827361413,자회사,5.631363119840122,,035720,2020.06.19,"카카오, 쑥쑥 자라는 자회사…목표가 17%↑-이베스트",https://finance.naver.com/item/news_read.nhn?article_id=0004427400&office_id=008&code=035720&page=2&sm=
0,PA,8.524827886533611,멈춘다,8.17075054566244,"?…""",8.04437487261541,여수,7.937525763511747,철수,6.647750524824822,,051910,2020.06.21,"LG화학, PA 사업 철수?…""여수 공장 라인 가동 멈춘다""",https://finance.naver.com/item/news_read.nhn?article_id=0004364479&office_id=015&code=051910&page=1&sm=
0,PA,8.524827886533611,여수,7.937525763511747,철수,6.647750524824822,검토,5.645729378771979,공장,3.789725068166551,,051910,2020.06.21,"LG화학, 여수 PA공장 철수 검토",https://finance.naver.com/item/news_read.nhn?article_id=0004446882&office_id=014&code=051910&page=1&sm=
0,탈산,9.28632789695242,스프,9.28632789695242,여수,7.937525763511747,원인,6.769430815686348,철수,6.647750524824822,,051910,2020.06.21,"LG화학, 여수 무스프탈산 라인 철수 검토…수익 악화가 원인",https://finance.naver.com/item/news_read.nhn?article_id=0004428103&office_id=008&code=051910&page=1&sm=
0,통폐합,9.28632789695242,PA,8.524827886533611,차원,7.0279874676307115,철수,6.647750524824822,검토,5.645729378771979,,051910,2020.06.21,"LG화학, PA 사업 철수 검토…""생산라인 통폐합 차원""",https://finance.naver.com/item/news_read.nhn?article_id=0004702667&office_id=277&code=051910&page=1&sm=
0,변혁,8.80587488303422,찜,7.364515841279615,온다,7.3224940555950395,"""···",6.783430326569674,기,6.302977312651472,,051910,2020.06.21,"[이번주 추천주] ""전기차 변혁기 온다""···삼성SDI·LG화학 '찜'",https://finance.naver.com/item/news_read.nhn?article_id=0003756513&office_id=011&code=051910&page=1&sm=
0,뭉쳐,9.28632789695242,똘똘,7.844968855197816,하기,7.457072749593546,구,7.209844517826036,韓,6.1298209689224175,,051910,2020.06.21,韓기업 똘똘 뭉쳐 'LG화학 구하기',https://finance.naver.com/item/news_read.nhn?article_id=0004702582&office_id=277&code=051910&page=1&sm=
0,컴투스,8.80587488303422,유안,7.40925053524363,타,7.282874862196601,추천,5.878541715899957,주간,5.596698537820178,,051910,2020.06.20,[유안타증권 주간추천주]코로나19에도 실적 개선…카카오·LG화학·컴투스,https://finance.naver.com/item/news_read.nhn?article_id=0004668855&office_id=018&code=051910&page=1&sm=
0,48만,9.28632789695242,2260,9.28632789695242,17만,9.28632789695242,최근,6.632515907600914,개인,6.087370122759543,,051910,2020.06.19,"LG화학, 최근 5일 개인 17만 2260주 순매도... 주가 48만 ...",https://finance.naver.com/item/news_read.nhn?article_id=0004701889&office_id=277&code=051910&page=1&sm=
0,1386억원,9.28632789695242,모티브,8.17075054566244,수주,5.812435394223963,오토,4.587632257499609,부품,4.559809906654341,,051910,2020.06.19,"삼기오토모티브, LG화학에 전기차 부품 1386억원 규모 수주",https://finance.naver.com/item/news_read.nhn?article_id=0004701732&office_id=277&code=051910&page=1&sm=
0,차전지,5.95077587869135,고,5.778280568804736,성장,5.008185178599291,매출,4.969620708363864,증권,4.915031141971444,,051910,2020.06.19,"LG화학, 2차전지 매출 고성장...목표가↑-현대차증권",https://finance.naver.com/item/news_read.nhn?article_id=0004446151&office_id=014&code=051910&page=1&sm=
0,1.85%,8.325421869116017,랭킹,7.0834688447790075,상위,6.534331251073818,검색,6.223420988314413,주가,4.097809740149685,,207940,2020.06.19,"삼성바이오로직스, 검색 상위 랭킹... 주가 -1.85%",https://finance.naver.com/item/news_read.nhn?article_id=0004702036&office_id=277&code=207940&page=1&sm=
0,도달,7.364515841279615,상한,6.712275889110161,배열,5.777204423492995,정,5.60349415284536,상승세,5.586628425876106,,005390,2020.06.19,"'신성통상' 상한가↑ 도달, 단기·중기 이평선 정배열로 상승세",https://finance.naver.com/item/news_read.nhn?article_id=0004363937&office_id=015&code=005390&page=1&sm=
0,13.77%,9.28632789695242,불매운동,6.679262641237687,테마,6.647750524824822,수혜,6.198809627319485,제품,5.973691922154366,,005390,2020.06.19,"신성통상, 日제품 불매운동(수혜) 테마 상승세에 13.77% ↑",https://finance.naver.com/item/news_read.nhn?article_id=0004701809&office_id=277&code=005390&page=1&sm=
0,구간,7.0834688447790075,10%,6.028203184126026,배열,5.777204423492995,상승세,5.586628425876106,이평,5.442085170582064,,005390,2020.06.19,"'신성통상' 10% 이상 상승, 주가 상승세, 단기 이평선 역배열 구간",https://finance.naver.com/item/news_read.nhn?article_id=0004363678&office_id=015&code=005390&page=1&sm=
0,신기록,8.325421869116017,13억,8.04437487261541,불구,6.976619735675344,량,6.496166721757143,베트남,5.8398818723048,,005930,2020.06.21,"삼성전자, 코로나19 불구 베트남 휴대폰 생산량 '13억대' 신기록",https://finance.naver.com/item/news_read.nhn?article_id=0004428098&office_id=008&code=005930&page=1&sm=
0,불리,9.28632789695242,관측,9.28632789695242,ISD,9.28632789695242,기소,7.563921858697209,되면,7.209844517826036,,005930,2020.06.21,[위기의 삼성]이재용 기소되면 ISD 소송서 한국 '불리' 관측,https://finance.naver.com/item/news_read.nhn?article_id=0004669634&office_id=018&code=005930&page=1&sm=
0,+',8.325421869116017,HDR,8.04437487261541,100,6.521374851777792,주도,6.371857062700361,참여,6.009552358998531,,005930,2020.06.21,삼성전자 주도 'HDR10+' 참여사 100개 돌파,https://finance.naver.com/item/news_read.nhn?article_id=0004446806&office_id=014&code=005930&page=1&sm=
0,들어왔다,9.28632789695242,+’,8.325421869116017,HDR,8.04437487261541,아마존,7.282874862196601,되는,7.0279874676307115,,005930,2020.06.21,‘퀄컴·아마존’도 들어왔다...확대되는 삼성 ‘HDR10+’ 생태계,https://finance.naver.com/item/news_read.nhn?article_id=0003756503&office_id=011&code=005930&page=1&sm=
0,주역,9.28632789695242,IMF,9.28632789695242,건강,7.0551731943724585,대한민국,7.0279874676307115,만든,6.862733538915401,,005930,2020.06.21,"""IMF 극복·삼성 반도체·국민건강보험, 대한민국 만든 주역""",https://finance.naver.com/item/news_read.nhn?article_id=0004428044&office_id=008&code=005930&page=1&sm=
0,공백,7.245398320212399,포스트,6.9522962862860345,총수,6.884062827361413,땐,6.884062827361413,불가피,6.647750524824822,,005930,2020.06.21,[위기의 삼성]총수 공백 땐 ‘포스트 코로나’ 준비 차질 불가피,https://finance.naver.com/item/news_read.nhn?article_id=0004669569&office_id=018&code=005930&page=1&sm=
0,긴장감,8.04437487261541,심의,7.245398320212399,높아진,7.245398320212399,재계,7.0834688447790075,앞두고,6.746940471130104,,005930,2020.06.21,[위기의 삼성]이재용 수사심의위 앞두고 긴장감 높아진 재계,https://finance.naver.com/item/news_read.nhn?article_id=0004669542&office_id=018&code=005930&page=1&sm=
0,블랙,9.28632789695242,핑크,8.325421869116017,빠졌다,8.17075054566244,갤,6.361588027758637,A,6.3107964407274535,,005930,2020.06.21,"“블랙핑크도 빠졌다”...삼성 갤A 캠페인, 광고제 수상",https://finance.naver.com/item/news_read.nhn?article_id=0003756512&office_id=011&code=005930&page=1&sm=
0,어썸,9.28632789695242,AD,9.28632789695242,시리즈,7.3224940555950395,영국,6.729391503907836,갤,6.361588027758637,,005930,2020.06.21,"“어썸!”…삼성 갤A시리즈 캠페인, 영국 D&AD 광고제 수상",https://finance.naver.com/item/news_read.nhn?article_id=0001689015&office_id=016&code=005930&page=1&sm=
0,고화질,8.325421869116017,HDR,8.04437487261541,벌써,7.690297531744237,"+,",7.364515841279615,회원,7.3224940555950395,,005930,2020.06.21,"삼성전자 차세대 고화질 기술 HDR10+, 벌써 회원사 100개 돌파",https://finance.naver.com/item/news_read.nhn?article_id=0004428024&office_id=008&code=005930&page=1&sm=
0,+’,8.325421869116017,HDR,8.04437487261541,화질,7.245398320212399,100,6.521374851777792,주도,6.371857062700361,,005930,2020.06.21,삼성 주도 차세대 화질기술 ‘HDR10+’ 참여업체 100개 돌파,https://finance.naver.com/item/news_read.nhn?article_id=0001689019&office_id=016&code=005930&page=1&sm=
0,+',8.325421869116017,HDR,8.04437487261541,회원,7.3224940555950395,화질,7.245398320212399,100,6.521374851777792,,005930,2020.06.21,삼성전자 주도 차세대 화질기술 'HDR10+' 회원사 100개 돌파,https://finance.naver.com/item/news_read.nhn?article_id=0004702555&office_id=277&code=005930&page=1&sm=
0,+',8.325421869116017,HDR,8.04437487261541,회원,7.3224940555950395,화질,7.245398320212399,100,6.521374851777792,,005930,2020.06.21,삼성전자 주도 차세대 화질 기술 'HDR10+' 회원사 100곳 돌파,https://finance.naver.com/item/news_read.nhn?article_id=0004669491&office_id=018&code=005930&page=1&sm=
0,계단,8.80587488303422,컴퓨터,7.937525763511747,위서,7.937525763511747,신뢰,6.821948412221767,서,5.461920977895603,,005930,2020.06.21,"삼성 컴퓨터, 美서 신뢰도 4위…작년 1위서 3계단↓",https://finance.naver.com/item/news_read.nhn?article_id=0001689023&office_id=016&code=005930&page=1&sm=
0,늘,7.563921858697209,판매량,6.588723630071075,제재,6.028203184126026,화웨이,5.919996319607359,미국,5.563685289947705,,005930,2020.06.21,"""화웨이 미국 제재로 삼성전자 스마트폰 판매량 더 늘 것""",https://finance.naver.com/item/news_read.nhn?article_id=0004702562&office_id=277&code=005930&page=1&sm=
0,60초,9.28632789695242,육박,7.209844517826036,절반,7.0834688447790075,배달,6.617608942087458,경제,6.167297510906619,,005930,2020.06.20,[60초 경제] 삼성전자 시총 절반 육박 中 배달기업,https://finance.naver.com/item/news_read.nhn?article_id=0003756454&office_id=011&code=005930&page=1&sm=
0,일까,11.95785132474714,엄살,9.28632789695242,진짜,7.0551731943724585,은,6.48389830979359,론,6.182874507579604,,005930,2020.06.20,삼성전자의 '반도체 위기론'은 엄살일까 진짜일까,https://finance.naver.com/item/news_read.nhn?article_id=0004364340&office_id=015&code=005930&page=2&sm=
0,공격,7.209844517826036,행보,6.9287975213254285,글로벌,4.8621924919133725,반도체,4.242593970893526,1,3.9506385239755257,,005930,2020.06.20,"삼성전자, 반도체 글로벌 1위 공격행보",https://finance.naver.com/item/news_read.nhn?article_id=0004702424&office_id=277&code=005930&page=2&sm=
0,짜장면,9.28632789695242,막간,9.28632789695242,식사,7.937525763511747,"""···",6.783430326569674,릴레이,6.663327521497807,,005930,2020.06.20,"""시간이 없다""···삼성 이재용, 릴레이 회의 막간 식사는 '짜장면'",https://finance.naver.com/item/news_read.nhn?article_id=0003756395&office_id=011&code=005930&page=2&sm=
0,해보니,9.28632789695242,쓴다는,9.28632789695242,문명,9.28632789695242,페이커,7.844968855197816,오디세이,7.690297531744237,,005930,2020.06.20,페이커도 쓴다는 삼성 오디세이 G7 모니터로 문명6 해보니,https://finance.naver.com/item/news_read.nhn?article_id=0004364227&office_id=015&code=005930&page=2&sm=
0,출렁,9.28632789695242,미친,8.325421869116017,43%,7.690297531744237,우선주,7.245398320212399,重,6.862733538915401,,005930,2020.06.19,하루 43% 출렁…미친 주가 삼성重 우선주,https://finance.naver.com/item/news_read.nhn?article_id=0004599007&office_id=009&code=005930&page=2&sm=
0,캐나다,6.632515907600914,화웨이,5.919996319607359,장비,5.7860344432937,G,5.5633799291522665,5,5.2355109858459565,,005930,2020.06.19,"삼성, 화웨이 제치고 캐나다에 5G장비",https://finance.naver.com/item/news_read.nhn?article_id=0004598985&office_id=009&code=005930&page=2&sm=
0,텔러스,8.325421869116017,이통,7.023472090153149,캐나다,6.632515907600914,장비,5.7860344432937,G,5.5633799291522665,,005930,2020.06.19,"삼성전자, 캐나다 3대 이통사 '텔러스'에 5G 장비공급",https://finance.naver.com/item/news_read.nhn?article_id=0001688483&office_id=016&code=005930&page=2&sm=
0,버린,8.80587488303422,택했다,8.17075054566244,캐나다,6.632515907600914,화웨이,5.919996319607359,장비,5.7860344432937,,005930,2020.06.19,화웨이 버린 캐나다...삼성 5G 장비 택했다,https://finance.naver.com/item/news_read.nhn?article_id=0003755861&office_id=011&code=005930&page=2&sm=
0,텔러스,8.325421869116017,통신,6.862733538915401,캐나다,6.632515907600914,장비,5.7860344432937,G,5.5633799291522665,,005930,2020.06.19,"삼성, 캐나다 '텔러스'에 5G 통신장비 공급",https://finance.naver.com/item/news_read.nhn?article_id=0004427412&office_id=008&code=005930&page=2&sm=
0,反,8.17075054566244,전선,8.04437487261541,잡았다,7.690297531744237,기회,6.29367318395365,`,6.140268806170144,,005930,2020.06.19,"`反화웨이` 전선확대…삼성, 5G장비 기회 잡았다",https://finance.naver.com/item/news_read.nhn?article_id=0004598977&office_id=009&code=005930&page=2&sm=
0,회복할까,8.80587488303422,망치,7.143780535416007,전,7.1371275422709255,잇단,6.54753445371251,상향,6.182874507579604,,005930,2020.06.19,"실적 전망치 잇단 상향…삼성전자, 전고점 회복할까",https://finance.naver.com/item/news_read.nhn?article_id=0004364116&office_id=015&code=005930&page=2&sm=
